,Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Voce se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentacao,Iniciacao Científica,Extensão
1081,CRP,30006689,105,Sistemas de Informacao - Noturno,2017,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,2,D,Desligamento                                      ,F,35.0,"29,9","610,62",9,N,a. Branco(a).,a. ate 1 Salario Minimo,publica,S,N,N,N,N
1391,CRP,30007418,105,Sistemas de Informacao - Noturno,2018,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,1,A,Estudante em abandono de curso                    ,F,30.0,"43,9","653,6",3,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
1392,CRP,30007444,105,Sistemas de Informacao - Noturno,2018,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,1,A,Estudante em abandono de curso                    ,F,22.0,46,"593,32",5,N,b. Preto(a).,d. Entre 5 e 7 Salarios Minimos,publica,N,N,N,N,N
1393,CRP,30007455,105,Sistemas de Informacao - Noturno,2018,1,Y,Processo Seletivo Alternativo - SiSU              ,2020.0,0,A,Estudante em abandono de curso                    ,F,22.0,"18,2","489,04",1,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
1397,CRP,30007473,105,Sistemas de Informacao - Noturno,2018,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,2,D,Desligamento                                      ,F,30.0,"21,3","589,66",5,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
1465,CRP,30007655,105,Sistemas de Informacao - Noturno,2018,1,L,SISU - Sistema_de_Selecao_Unificada           ,, ,N,Normal                                            ,F,25.0,"55,6",534,7,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
1482,CRP,30007714,105,Sistemas de Informacao - Noturno,2018,1,Y,Processo Seletivo Alternativo - SiSU              ,2019.0,1,D,Desligamento                                      ,F,23.0,"11,6","426,1",9,N,a. Branco(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
1573,CRP,30008012,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,21.0,"64,6","580,88",7,N,a. Branco(a).,d. Entre 5 e 7 Salarios Minimos,publica,N,N,N,N,N
1574,CRP,30008023,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,24.0,"46,2","622,1",1,N,b. Preto(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
1575,CRP,30008026,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,22.0,"28,8","604,64",9,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
1576,CRP,30008027,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,21.0,"43,5","512,72",7,N,a. Branco(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
1577,CRP,30008039,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,21.0,"73,2","546,66",1,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
1578,CRP,30008046,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,25.0,"23,4","520,08",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
