Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Você se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentação,Iniciação Científica,Extensão
CRP,30006702,110,Ciências Biológicas,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,25,"69,6",622,9,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006704,101,Administração - Integral,2017,1,L,SISU - Sistema de Seleção Unificada               ,2019,2,D,Desligamento                                      ,F,24,"26,3",591,5,N,b. Preto(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006710,110,Ciências Biológicas,2017,1,L,SISU - Sistema de Seleção Unificada               ,2018,1,C,Conclusão                                         ,F,28,"62,8","565,22",5,N,b. Preto(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006711,107,Química,2017,1,L,SISU - Sistema de Seleção Unificada               ,2017,1,A,Estudante em abandono de curso                    ,F,31,0,"650,52",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006712,112,Nutrição,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,25,"72,2","569,12",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006712,112,Nutrição,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,25,"72,2","569,12",9,N,c. Pardo(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006724,112,Nutrição,2017,1,L,SISU - Sistema de Seleção Unificada               ,2018,2,C,Conclusão                                         ,F,27,85,615,9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006725,112,Nutrição,2017,1,L,SISU - Sistema de Seleção Unificada               ,2019,2,C,Conclusão                                         ,F,28,"72,5","545,12",7,N,b. Preto(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006727,112,Nutrição,2017,1,L,SISU - Sistema de Seleção Unificada               ,2020,0,C,Conclusão                                         ,F,39,"77,2","563,12",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006730,111,Engenharia de Produção,2017,1,L,SISU - Sistema de Seleção Unificada               ,2017,2,A,Estudante em abandono de curso                    ,F,24,11,"565,36",7,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006731,101,Administração - Integral,2017,1,L,SISU - Sistema de Seleção Unificada               ,2019,2,D,Desligamento                                      ,F,28,"49,3","513,32",1,N,b. Preto(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30006732,102,Administração - Noturno,2017,1,L,SISU - Sistema de Seleção Unificada               ,2019,2,D,Desligamento                                      ,F,30,"59,2","553,16",3,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30006745,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,1,A,Estudante em abandono de curso                    ,F,22,"44,8","478,96",5,N,c. Pardo(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006746,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2018,2,D,Desligamento                                      ,F,51,"28,2","494,9",7,N,c. Pardo(a).,f. Entre 10 e 20 Salários Mínimos.,Pública,N,N,N,N,N
